versao;N;threads;media;desvio_padrao
PAR-SIMD;100000;1;0.00002319;0.00000305
PAR-SIMD;100000;2;0.00002678;0.00003340
PAR-SIMD;100000;4;0.00002554;0.00004739
PAR-SIMD;100000;8;0.00049604;0.00143107
PAR-SIMD;100000;16;0.00060528;0.00043439
PAR-SIMD;500000;1;0.00030395;0.00016757
PAR-SIMD;500000;2;0.00022207;0.00015091
PAR-SIMD;500000;4;0.00009149;0.00007413
PAR-SIMD;500000;8;0.00044329;0.00077086
PAR-SIMD;500000;16;0.00083751;0.00029749
PAR-SIMD;1000000;1;0.00061582;0.00011613
PAR-SIMD;1000000;2;0.00079095;0.00038843
PAR-SIMD;1000000;4;0.00054197;0.00007117
PAR-SIMD;1000000;8;0.00146133;0.00100819
PAR-SIMD;1000000;16;0.00070604;0.00017802
PAR-SIMD;10000000;1;0.00539394;0.00016069
PAR-SIMD;10000000;2;0.00511881;0.00039189
PAR-SIMD;10000000;4;0.00512556;0.00011430
PAR-SIMD;10000000;8;0.00573919;0.00018763
PAR-SIMD;10000000;16;0.00634162;0.00035901
