N;threads;media;desvio_padrao
100000;1;0.00007726;0.00001286
100000;2;0.00005267;0.00003394
100000;4;0.00004944;0.00004612
100000;8;0.00004670;0.00008076
100000;16;0.00084797;0.00051412
500000;1;0.00099289;0.00060478
500000;2;0.00061281;0.00015979
500000;4;0.00057194;0.00009969
500000;8;0.00135077;0.00073675
500000;16;0.00130512;0.00045072
1000000;1;0.00162560;0.00012039
1000000;2;0.00140597;0.00014532
1000000;4;0.00149687;0.00007290
1000000;8;0.00169080;0.00013119
1000000;16;0.00245682;0.00065636
