N;threads;media;desvio_padrao
100000;1;0.00019203;0.00006113
100000;2;0.00008663;0.00009564
100000;4;0.00005634;0.00006795
100000;8;0.00616974;0.00061473
100000;16;0.00076012;0.00041780
500000;1;0.00075437;0.00013338
500000;2;0.00058192;0.00016480
500000;4;0.00057826;0.00012981
500000;8;0.00664783;0.00039662
500000;16;0.00126402;0.00044127
1000000;1;0.00164553;0.00007180
1000000;2;0.00147763;0.00009531
1000000;4;0.00155309;0.00013873
1000000;8;0.00816110;0.00140629
1000000;16;0.00221278;0.00042709
